frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_42,ID_43
0,(1646!294),(168!458),(383!484),(1610!785),(867!1189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(1646!294),(169!458),(383!484),,(873!1193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,(1645!294),(168!458),(384!482),,(874!1194),(941!339),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(1646!294),(169!458),(384!482),,(875!1194),(1099!416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,(1646!294),(166!457),(384!482),,(875!1195),(1099!417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,(1646!294),(168!458),,,(876!1196),(1099!415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(1645!294),(168!458),(383!483),,(877!1197),(1099!415),(378!825),(257!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,(1646!294),(168!458),(384!482),(1609!784),(878!1197),(1098!414),,(257!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,(168!459),(384!482),(1609!784),(879!1197),,(378!825),(257!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,(1645!295),(168!459),,(1609!785),(880!1198),,(378!826),(257!1158),,(942!329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,(1646!295),(168!459),(383!484),,(881!1199),(1098!415),,(257!1158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,(1646!295),(168!459),,(1609!785),(882!1200),(1096!412),(378!824),(258!1158),,(943!325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,(1646!295),(171!462),(383!484),(1610!785),(884!1200),(1097!414),,(258!1158),,(943!325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,(1646!295),(169!461),(383!484),(1609!785),(884!1200),(1096!412),,(258!1158),,(942!323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,(167!458),,(1609!784),(886!1201),(1096!411),(378!823),(258!1157),,(943!320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,(1646!295),(167!458),(383!483),(1610!784),(887!1202),(1096!411),(378!824),(258!1157),,(939!323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,(167!458),(382!483),(1610!784),(887!1202),(1095!412),(378!825),(258!1158),,(939!319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,(1646!294),(167!458),,,(888!1202),(1096!414),(378!826),(257!1157),,(942!318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,(167!458),(383!481),(1610!784),(888!1203),(1097!414),(378!825),(258!1157),,(943!313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,(1646!295),(169!461),,(1610!784),(889!1204),(1095!413),(378!825),(258!1157),,(942!313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,(167!458),(382!483),(1610!784),(889!1204),(1096!413),(378!825),,,(943!311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,(1645!295),(166!458),(382!483),,,(1096!411),(378!826),,,(941!311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,(1645!295),(167!458),(381!483),(1609!785),(890!1206),(1097!411),(378!826),,,(942!309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,(1645!295),(167!461),(381!483),(1609!785),(891!1207),(1096!411),(378!826),,,(942!309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,(1645!296),(167!459),,(1609!785),(893!1209),(1097!412),(378!826),,,(941!306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,(1645!296),(167!458),(382!483),,(894!1210),(1097!410),(378!826),(259!1159),,(941!304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,(1646!296),(169!459),(379!488),(1609!785),(896!1212),(1097!411),(378!825),,,(941!303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,(1646!296),(167!458),(382!483),(1609!785),,(1097!410),(378!825),,(1700!396),(942!303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,(1646!295),(168!459),(383!482),,(898!1213),(1097!410),(378!825),,,(942!300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,(1646!295),(167!458),(382!482),,(899!1215),(1096!410),,,,(942!296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,(1646!295),(168!458),(383!480),,(901!1216),(1099!411),(378!825),,,(942!292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,(1647!295),(167!457),(383!480),(1610!785),(903!1218),(1097!410),(378!825),,,(942!291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,(1646!295),(167!457),(383!480),(1610!784),(904!1220),(1096!411),(378!826),,,(943!290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,(1646!295),(167!458),(383!480),(1610!785),(905!1223),(1096!412),(378!826),,,(943!288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,(1646!295),(167!458),(383!480),(1610!785),(906!1224),(1096!412),(377!826),,,(943!286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,(1646!295),(167!458),(381!483),(1609!785),(908!1227),(1096!412),,,,(944!284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,(1646!295),(167!458),(383!482),(1609!785),(910!1229),(1097!412),(378!825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,(1646!296),,(383!481),(1609!785),(912!1230),(1097!412),(378!826),,,(945!281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,(1646!296),(167!458),(383!481),(1609!785),(913!1231),(1098!411),(378!825),,,(946!280),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(1646!296),(167!458),(383!481),(1609!785),(915!1233),(1098!411),(378!824),,,,,(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(1646!295),(169!460),(383!481),,,(1098!412),(378!826),(258!1158),,(948!273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(1646!295),(168!460),(383!482),(1610!785),(918!1234),(1098!411),,(258!1158),,(948!271),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,(1647!295),(167!457),(381!483),(1610!785),,(1098!411),,(258!1157),,(948!267),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,(168!459),(383!481),(1610!785),(920!1236),(1098!412),(378!825),(258!1158),,(948!266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(1646!295),(168!460),(383!481),(1610!785),,(1098!412),(378!825),(258!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,(1646!295),(167!457),(383!480),(1609!788),(921!1236),(1098!411),(378!825),,,,,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,(1646!295),(168!458),(383!480),,(921!1236),(1098!411),(378!825),,,(949!257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,(1646!295),(167!457),(383!480),(1609!785),(921!1237),(1097!412),(378!826),(257!1157),,(949!253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,(1646!296),(167!458),(383!482),,(920!1237),(1099!414),(378!826),,,(950!249),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(1646!295),(167!458),(383!481),,(920!1237),(1097!412),(378!826),,,(950!254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,(1646!296),(166!458),(383!482),(1609!785),(920!1237),(1099!413),(378!826),,,(951!246),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,(1645!296),(167!460),(383!481),,(920!1237),(1099!414),,,(1700!356),(951!244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,(1646!296),(164!458),(383!481),(1610!785),(920!1237),(1097!413),(378!826),(259!1158),,(950!243),(288!104),(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,(1700!356),(164!458),(383!481),,,(1097!413),,(258!1158),,(950!242),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,(1700!356),(166!457),(383!482),,,(1097!413),(378!826),(259!1158),,(950!242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,(1700!355),(167!457),(382!482),(1610!785),(921!1237),(1097!413),(378!826),(257!1158),(1646!295),(950!247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,(1700!355),(167!457),(382!483),,(921!1237),(1096!412),(378!825),(259!1157),(1646!295),(950!240),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,(1701!355),(167!457),(384!482),,(921!1236),(1097!411),(378!825),(257!1157),,(950!237),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,(1701!355),(167!457),(383!480),(1609!788),(921!1236),(1097!412),(378!825),,(1647!295),(950!237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,(1700!355),(167!457),(383!480),(1609!788),(921!1236),(1097!411),(378!825),,(1647!295),(950!235),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,(1700!355),(167!457),(383!481),(1609!785),(921!1237),(1097!412),(378!825),,,(949!240),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,(1646!295),(167!457),(383!482),(1609!785),(921!1237),(1099!413),(378!825),,,(949!233),(288!104),(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,(1646!295),(167!456),(382!482),(1610!785),(920!1237),(1096!412),(378!825),,(1700!355),(949!231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,(1646!295),(167!457),(383!481),(1610!785),(920!1237),(1096!412),(378!825),,,(949!229),,(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,(1646!295),(167!457),(383!481),(1610!785),(920!1237),(1096!412),(378!825),,,(949!229),(288!104),(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,(1646!295),(167!458),(383!482),(1610!785),(921!1237),(1096!412),(378!825),,,(949!225),(288!104),(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,(1647!295),(167!457),(383!482),(1610!785),(921!1237),(1096!412),(378!825),,(1700!355),(949!227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,(1647!295),(172!460),(383!480),,(921!1237),(1096!412),(378!825),,(1700!355),(947!223),(289!104),(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,(1647!296),(169!460),(383!481),(1610!785),(921!1237),(1096!412),,,,(946!220),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,(167!457),(383!480),(1610!785),(921!1237),(1096!412),(379!825),,,(946!215),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,(1646!296),(167!458),(383!481),(1610!785),(921!1237),(1096!412),(379!825),,,(946!214),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,(1647!295),(167!457),(383!480),(1610!785),(921!1237),(1095!411),,,,(945!212),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,(1647!295),(167!457),(383!480),(1610!785),(921!1237),(1095!412),,,,(945!211),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,(166!457),(383!480),(1610!785),(921!1237),(1095!412),(379!825),,,,,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,(1646!295),(166!457),(383!480),,(920!1237),(1095!412),(379!825),,,(943!206),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,(1646!295),(167!457),(382!482),(1609!785),(920!1237),(1095!412),(379!825),,(1703!337),(943!203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,(1646!296),(169!460),(382!482),(1609!785),(920!1237),,(379!825),,,(943!205),(289!104),(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,(167!457),(382!482),,(920!1237),(1095!412),,,,(943!198),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,(1646!296),(166!458),(383!482),(1609!785),(920!1237),(1095!412),,,,,,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,(166!457),(382!480),,(920!1237),(1095!412),,,,(941!193),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,(1646!296),(166!458),(383!480),(1610!785),(920!1237),(1095!412),,,,(940!193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,(1646!295),(168!460),(383!480),(1610!785),(921!1237),(1095!412),,,,(941!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,(1646!295),(166!457),(383!480),(1610!785),(921!1237),(1095!411),,,,,(289!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,(1646!295),(166!457),(382!481),(1610!785),(921!1237),(1095!412),,,,(941!188),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,(1646!295),(166!457),,(1610!785),(921!1237),(1095!412),,,,(940!187),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,(1647!295),(166!457),(382!481),(1610!785),(921!1237),(1095!411),(380!824),,,(941!185),(289!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,(1647!296),(167!457),(383!481),(1610!785),(921!1237),(1097!412),,,,(940!191),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,(1646!296),(167!458),(383!481),(1610!785),(921!1237),(1095!412),(380!825),,,(940!184),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,(1647!296),(167!458),(382!480),(1610!785),(921!1237),(1096!413),,,,(941!182),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,(1647!296),,(382!480),(1610!785),(920!1237),(1095!412),,,,(941!177),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,(1647!296),,(383!480),(1609!785),(920!1237),(1095!412),,,,(941!177),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,(1646!296),,(383!480),(1609!785),(920!1237),(1095!412),(379!825),,,(942!176),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,(1646!296),(166!457),(383!480),(1609!785),(920!1237),(1095!412),,,,(942!177),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,(1646!295),,(383!480),(1609!785),(920!1237),(1095!412),(379!825),,,(942!171),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,(1646!295),,(383!481),(1609!785),(920!1237),(1095!412),,,(1691!301),,(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,(1646!295),,(383!481),(1610!785),(921!1237),(1095!412),(379!825),,,(941!167),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,(1646!295),(167!457),(383!481),(1610!785),(921!1237),(1095!412),(380!824),,,(941!165),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,(1647!296),,(382!481),(1610!785),(921!1237),(1095!412),(380!824),(257!1157),,(941!163),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,(1647!296),(168!460),(382!481),(1610!785),(921!1237),(1095!412),(380!824),,,(941!161),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,(1648!296),(167!460),(382!481),,(921!1237),(1096!412),(380!825),,,(941!160),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,(1647!296),(166!457),(383!480),,(921!1237),(1096!412),,,,(941!158),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,(1647!296),(166!457),,(1610!785),,(1095!412),(379!825),,,(941!156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,(1647!296),(167!457),,(1610!785),(924!1240),(1095!412),,,,(943!154),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,(1646!296),(167!458),,(1609!785),(925!1241),(1095!412),(379!825),,,(943!150),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,(1646!296),(166!458),,(1609!786),(926!1242),(1095!413),(379!825),,,(943!146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,(1647!296),(167!458),(383!480),(1609!786),(928!1242),(1095!412),(379!826),,,(943!144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,(1647!296),(166!458),(383!479),(1609!786),(931!1242),(1095!412),,,,(943!144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,(1647!296),(166!458),(383!479),(1610!785),(934!1242),(1095!412),(379!825),,,(943!140),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,(1647!295),(167!457),(383!479),(1610!785),(936!1242),(1095!412),(379!825),,,(944!138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,(1646!295),(167!460),(383!479),(1610!785),,(1095!412),(379!825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,(1646!296),(168!460),(383!479),(1609!785),(942!1242),(1095!411),(379!825),,,(945!134),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,(1646!295),(167!457),(383!479),(1610!785),,(1095!411),,,,(946!131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,(1647!295),(168!460),(383!480),(1609!785),(949!1243),(1095!411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,(1646!295),(167!459),(383!480),(1609!785),(952!1244),(1095!412),,,,,(289!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,(1646!296),(166!457),(383!480),(1610!785),(954!1243),(1095!412),(379!825),,,(948!127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,(1646!296),(166!458),(383!480),(1609!785),(956!1244),(1095!412),(379!826),,,(948!125),(289!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,(1646!296),,(383!480),(1609!785),(960!1242),(1095!412),(380!825),,,(947!125),(288!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,(1646!296),(167!457),(383!480),(1609!785),(962!1240),(1095!412),(379!826),,,(949!119),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,(1646!296),(166!458),(383!480),(1609!785),(964!1238),(1094!412),,,,(949!118),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,(1646!296),(166!457),(383!480),(1609!785),(968!1238),(1095!412),(379!826),,,(948!122),(289!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,(1647!296),,(383!480),(1609!785),(972!1238),(1095!412),(379!825),,,(950!114),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,(1647!296),,(383!480),(1608!785),(974!1239),(1094!412),(379!826),,,,(288!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,(1646!296),(166!457),(383!481),(1610!785),(977!1239),(1095!411),(379!826),,,(951!108),(288!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,(1645!296),(167!457),(383!480),(1609!785),(980!1238),(1095!411),(379!826),,,(951!108),(289!103),(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,(1645!296),(166!458),(384!481),(1610!785),(978!1238),(1096!412),(380!826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,(1647!295),(167!457),(384!482),(1610!785),(986!1238),(1095!411),(380!827),,,(951!107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,(1646!295),(166!457),(382!482),(1610!785),(990!1237),(1095!412),(380!827),,,(950!110),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,(1646!295),(167!457),(384!481),(1609!785),(993!1236),(1095!411),(380!827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,(1646!296),(168!458),(384!481),,(994!1236),(1095!411),,,,(953!101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,(1645!296),(168!458),(384!481),(1609!786),(996!1235),(1095!412),(380!827),,,(955!101),(289!103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,(1646!296),(168!458),(384!481),(1609!789),,(1096!412),(380!828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,(1646!296),,(384!481),(1609!786),(1002!1234),(1095!411),(380!827),,,,(289!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,(1646!296),(167!458),(382!483),,(1005!1235),(1095!412),(381!827),,,(956!98),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,(1646!296),(168!458),(384!481),(1608!786),(1002!1235),(1095!412),,(256!1158),,(956!97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,(1645!296),(166!458),(384!481),(1609!790),,(1095!411),(379!827),,,(959!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,(1646!295),(169!458),(384!482),(1609!792),(1012!1235),(1095!411),(379!827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,(1646!295),(169!457),(384!482),(1609!788),(1014!1234),(1095!411),(379!827),,,(958!95),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,(1646!295),(169!457),(383!482),(1609!785),(1018!1235),(1095!411),(379!826),,,(964!94),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,(1646!295),(169!458),(384!481),,(1022!1234),(1095!411),(379!827),,,(967!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,(1646!295),(169!457),(384!482),,(1023!1234),(1095!411),(379!827),,,,(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,(1646!295),(170!460),(383!482),(1610!785),(1027!1234),(1096!411),(380!827),,,,(288!103),(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,(1646!295),(170!458),(383!482),(1610!785),(1030!1235),(1096!411),(380!827),,,,(289!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,(1646!296),(168!458),(384!481),(1609!786),(1033!1237),(1095!412),,,,,(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,(1646!296),(169!459),(384!481),(1609!786),,(1096!413),(379!827),,,(972!97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,(1646!296),(169!459),(384!481),(1608!786),(1037!1237),(1096!412),(380!827),,,(977!97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,(1647!296),(169!458),(384!481),(1608!786),(1040!1238),(1095!412),(380!827),,,(979!97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,(1647!296),(169!458),(382!482),(1608!786),,(1096!412),(380!827),,,(982!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,(1646!298),(169!458),(383!482),(1608!786),,(1095!412),(380!827),,,(984!96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,(1646!299),(168!459),(383!481),(1608!786),(1049!1237),(1095!412),(380!827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,(1646!300),(168!457),(384!481),(1608!785),(1050!1237),,(380!827),,,(989!95),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,(1646!299),(169!457),(384!481),(1608!788),(1052!1237),(1096!412),,,,(993!94),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,(1646!298),(169!459),(383!481),(1608!786),(1055!1236),(1095!411),(380!827),,,(996!93),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,(1646!298),(169!458),(383!480),(1608!785),(1057!1237),,(380!828),,,(995!93),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,(1647!298),(168!459),(383!480),(1608!786),(1059!1237),(1096!412),(380!828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,(1647!297),(169!459),(384!480),(1608!786),,(1095!412),(380!828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,(1647!297),(169!459),(383!482),(1608!786),,(1095!411),,,,,(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,(1647!298),(169!459),(384!481),(1608!786),,(1095!413),(380!828),,,(1006!92),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,(1646!298),(169!460),(384!481),(1608!786),(1067!1240),(1096!412),(380!828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,(1646!298),(169!460),(384!481),(1608!786),(1070!1240),(1096!412),(380!828),,,(1009!93),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,(1646!298),(171!462),(384!481),(1608!786),,(1096!412),(380!828),,,,(288!104),(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,(1647!298),(169!460),(384!481),(1608!786),(1070!1240),(1095!413),(380!828),,,,,(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,(1647!298),(169!459),(383!482),(1608!786),(1073!1240),(1095!412),,,,(1013!91),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,(1647!298),(169!459),(384!480),(1609!785),(1075!1239),(1095!412),(380!828),,,(1016!91),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,(1646!298),,(383!482),(1609!785),(1080!1239),(1096!412),(380!828),,,(1019!90),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,(1646!298),(170!459),(384!481),(1608!785),,(1096!412),(380!828),,,,(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,(1646!298),(170!459),(383!482),(1608!785),(1086!1239),(1095!412),,,,(1024!90),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,(1646!298),(169!459),(384!481),(1609!785),(1088!1238),(1095!412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,(1646!297),(169!458),(384!480),(1609!786),(1090!1239),(1096!412),,,,,(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,(1646!298),,(383!482),(1608!786),,(1096!412),,,,(1028!90),(288!104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,(1646!298),(169!460),(384!482),(1608!786),(1096!1237),(1095!412),(380!829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,(1646!298),(168!458),(383!482),(1608!788),,(1095!412),(380!829),,,,,(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
