frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_35,ID_36,ID_37,ID_38,ID_39
0,(1365!435),(324!506),(700!562),(264!581),(1321!577),(1151!581),(382!775),(1013!1117),(266!1144),(1354!1513),(293!1542),(1021!1644),(913!1854),(991!1889),(1239!1895),(601!1970),,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(1366!435),(325!507),(701!565),(273!591),(1323!575),(1158!586),(382!776),(1020!1114),(262!1153),(1344!1523),(293!1543),(1022!1644),(900!1848),(979!1881),(1239!1894),(602!1971),,,,,,,,,,,,,,,,,,,,,,,
6,(1366!435),(325!506),(701!563),(275!593),(1323!576),(1160!587),(382!777),(1025!1111),(261!1154),(1341!1526),(293!1543),(1022!1644),(899!1847),(979!1882),(1239!1895),(602!1971),,,,,,,,,,,,,,,,,,,,,,,
7,(1366!435),(325!507),(701!563),(277!596),(1324!575),(1163!587),(383!777),(1028!1107),(260!1156),(1339!1529),(294!1543),(1022!1642),(897!1846),(979!1880),(1239!1895),(602!1972),,,,,,,,,,,,,,,,,,,,,,,
8,(1367!436),(324!506),(702!566),(277!598),(1324!576),(1164!588),(383!777),(1028!1105),(258!1158),(1336!1532),(295!1543),(1022!1645),(895!1845),(976!1878),(1239!1895),(603!1972),,,,,,,,,,,,,,,,,,,,,,,
9,(1366!436),(326!507),(702!566),(281!601),(1324!576),(1166!589),(383!776),(1032!1101),(257!1161),(1332!1535),(294!1544),(1022!1644),(892!1844),(971!1877),(1239!1896),(603!1972),,,,(221!2062),,,,,,,,,,,,,,,,,,,
10,(1367!435),(326!507),(702!566),(284!603),(1324!576),(1167!589),(383!776),(1035!1099),(255!1165),(1328!1537),(295!1543),(1022!1645),(889!1844),(969!1876),(1239!1895),(603!1971),(106!724),,,(222!2062),,,,,,,,,,,,,,,,,,,
11,(1366!436),(325!507),(702!566),(285!605),(1323!576),(1168!589),(383!775),(1038!1096),(254!1169),(1325!1539),(294!1543),(1022!1644),(885!1845),(966!1875),(1238!1895),(602!1971),(104!904),,,,,,,,,,,,,,,,,,,,,,
12,(1366!435),(327!506),(701!562),(287!606),(1323!576),(1169!589),(382!776),(1040!1094),(253!1171),(1322!1541),(294!1543),(1021!1644),(882!1845),(964!1874),(1238!1895),(602!1971),,,,(222!2062),,,,,,,,,,,,,,,,,,,
13,(1365!435),(329!506),(701!564),(288!607),(1322!575),(1170!588),(382!776),(1044!1091),(253!1174),(1318!1543),(294!1542),(1021!1643),(878!1844),(958!1871),(1238!1895),(603!1970),,,,(214!2056),,,,,,,,,,,,,,,,,,,
14,(1365!435),(328!506),(701!565),(291!610),(1320!573),(1170!588),(382!776),(1044!1090),(253!1178),(1315!1544),(293!1543),(1021!1644),(875!1844),(957!1871),(1237!1894),(603!1971),,,,(223!2061),,,,,,,,,,,,,,,,,,,
15,(1365!434),(330!506),(701!564),(295!613),(1319!574),(1171!587),(381!774),(1047!1088),(253!1182),(1312!1547),(293!1543),(1021!1644),(869!1844),(953!1869),(1237!1894),(602!1971),,,,(224!2061),,,,,,,,,,,,,,,,,,,
16,(1365!435),(331!505),(700!562),(298!614),(1318!573),(1172!587),(382!775),(1050!1086),(254!1185),(1308!1550),(293!1543),(1021!1643),(866!1843),(951!1867),(1237!1894),(603!1971),(103!900),,,(223!2060),,,,,,,,,,,,,,,,,,,
17,(1365!437),(334!505),(701!562),(300!617),(1316!572),(1174!587),(382!774),(1055!1083),(252!1187),(1303!1553),(293!1542),(1021!1643),(865!1842),(949!1865),(1237!1894),(603!1970),,,,(226!2060),,,,,,,,,,,,,,,,,,,
18,(1365!434),(335!504),(702!563),(302!621),(1316!570),(1174!587),(382!774),(1056!1083),(253!1190),(1300!1555),(294!1542),(1021!1643),(862!1841),(947!1864),(1238!1894),(604!1971),,,,(234!2063),,,,,,,,,,,,,,,,,,,
19,(1365!435),(337!503),(701!563),(304!623),(1317!568),(1175!587),(382!775),(1058!1082),(252!1193),(1296!1557),(294!1542),(1022!1643),(859!1842),(946!1865),(1238!1894),(604!1971),(103!867),,,,,,,,,,,,,,,,,,,,,,
20,(1366!435),(339!502),(701!564),(307!626),(1317!566),(1175!588),(383!776),(1057!1079),(252!1197),(1292!1560),(294!1543),(1022!1642),(856!1842),(941!1863),(1239!1894),(604!1971),,,,,,,,,,,,,,,,,,,,,,,
21,(1366!435),(340!501),(703!564),(308!630),(1315!564),(1176!588),(383!776),(1059!1078),(252!1200),(1288!1560),(294!1543),(1022!1643),(853!1841),(941!1865),(1239!1894),(604!1972),,,,,,,,,,,,,,,,,,,,,,,
22,(1366!435),(341!501),(703!566),(309!633),(1313!561),(1176!587),(383!776),(1064!1074),(253!1203),(1285!1562),(294!1543),(1021!1644),(850!1844),(935!1862),(1238!1895),(604!1972),,,,(234!2060),,,,,,,,,,,,,,,,,,,
23,(1366!435),(344!501),(702!565),(310!635),(1312!559),(1177!588),(383!775),(1069!1075),(252!1205),(1280!1563),(294!1543),(1021!1644),(848!1843),(931!1862),(1239!1895),(604!1972),,,,,,,,,,,,,,,,,,,,,,,
24,(1366!435),(345!500),(701!563),(312!638),(1310!556),(1177!589),(382!775),(1071!1074),(251!1209),(1275!1564),(294!1544),(1021!1644),(844!1843),(927!1860),(1239!1895),(604!1972),,,,(236!2059),,,,,,,,,,,,,,,,,,,
25,(1368!440),(345!499),(702!564),(316!641),(1308!555),(1177!589),(383!776),(1074!1073),(251!1212),(1271!1565),(294!1544),(1020!1644),(841!1842),(925!1860),(1238!1895),(604!1971),,,,,,,,,,,,,,,,,,,,,,,
26,(1365!435),(347!499),(701!563),(316!645),(1306!553),(1177!589),(383!776),(1077!1072),(249!1215),(1267!1566),(293!1544),(1020!1644),(837!1841),(923!1859),(1238!1895),(603!1971),,,,(236!2058),,,,,,,,,,,,,,,,,,,
27,(1365!435),(347!498),(700!564),(317!647),(1305!550),(1177!589),(382!776),(1081!1070),(249!1218),(1263!1566),(293!1543),(1019!1643),(833!1839),(919!1857),(1237!1895),(602!1971),,,,,,,,,,,,,,,,,,,,,,,
28,(1365!435),(349!497),(701!565),(317!649),(1303!547),(1177!588),(382!775),(1082!1069),(249!1220),(1258!1567),(293!1543),(1019!1643),(830!1838),(918!1856),(1237!1894),(603!1971),(103!851),,,,(96!1723),,,,,,,,,,,,,,,,,,
29,(1365!435),(350!498),(700!562),(318!652),(1301!544),(1177!588),(383!774),(1084!1068),(249!1223),(1253!1569),(293!1542),(1019!1643),(827!1837),(912!1855),(1237!1894),(603!1971),(105!676),,,,(97!1716),,,,,,,,,,,,,,,,,,
30,(1365!435),(350!497),(700!563),(319!654),(1298!541),(1178!588),(382!776),(1084!1067),(248!1227),(1250!1571),(293!1542),(1020!1643),(823!1836),(910!1855),(1237!1894),(603!1970),,,,(242!2060),,,,,,,,,,,,,,,,,,,
31,(1365!435),(351!497),(701!565),(319!659),(1297!538),(1179!587),(375!772),(1087!1065),(250!1231),(1247!1572),(293!1542),(1020!1643),(820!1835),(906!1855),(1237!1894),(604!1970),,,,,(97!1722),,,,,,,,,,,,,,,,,,
32,(1366!434),(351!497),(701!563),(320!662),(1297!537),(1180!587),(383!775),(1090!1063),(251!1232),(1243!1575),(294!1542),(1021!1643),(817!1836),(902!1855),(1238!1894),(605!1971),,,,(243!2059),,,,,,,,,,,,,,,,,,,
33,(1366!435),(352!497),(701!562),(321!666),(1295!534),(1181!587),(383!775),(1092!1062),(251!1234),(1239!1578),(294!1543),(1021!1643),(814!1834),(900!1854),(1238!1894),(606!1970),,,,(244!2060),,,,,,,,,,,,,,,,,,,
34,(1367!436),(352!496),(702!563),(322!669),(1293!530),(1182!587),(383!776),(1094!1060),(251!1235),(1235!1579),(294!1543),(1021!1643),(811!1835),(897!1853),(1238!1894),(606!1970),(108!691),,,(245!2061),,,,,,,,,,,,,,,,,,,
35,(1367!435),(353!497),(702!562),(324!672),(1290!527),(1183!587),(384!777),(1097!1060),(251!1237),(1232!1581),(295!1543),(1021!1642),(808!1836),(893!1851),(1238!1894),(606!1970),(109!673),,,(241!2061),,,,,,,,,,,,,,,,,,,
36,(1367!435),(352!497),(703!564),(326!676),(1288!524),(1184!587),(376!774),(1096!1059),(251!1241),(1228!1583),(295!1543),(1021!1642),(805!1834),(890!1850),(1238!1894),(606!1971),,,,,,,,,,,,,,,,,,,,,,,
37,(1366!436),(351!498),(701!562),(328!679),(1286!520),(1184!588),(383!777),(1102!1058),(249!1244),(1224!1586),(294!1543),(1021!1644),(801!1832),(887!1849),(1238!1895),(606!1970),,,,(243!2061),,,,,,,,,,,,,,,,,,,
38,(1366!436),(352!496),(701!562),(328!681),(1285!518),(1185!588),(382!777),(1104!1055),(248!1246),(1221!1590),(294!1543),(1021!1643),(799!1830),(883!1848),(1238!1895),(606!1970),,,,(251!2063),,,,,,,,,,,,,,,,,,,
39,(1366!436),(352!497),(701!562),(327!683),(1283!513),(1185!588),(383!776),(1105!1055),(247!1249),(1218!1593),(294!1543),(1020!1644),(795!1828),(878!1849),(1238!1895),(605!1970),,,,,,,,,,,,,,,,,,,,,,,
40,(1366!435),(352!497),(700!562),(327!685),(1281!511),(1185!588),(382!776),(1108!1051),(246!1250),(1216!1597),(294!1543),(1020!1644),(793!1827),(874!1849),(1237!1895),(605!1970),,,,(254!2064),,,,,,,,,,,,,,,,,,,
41,(1365!435),(350!497),(700!562),(328!687),(1280!508),(1185!589),(382!775),(1110!1051),(245!1253),(1215!1601),(293!1543),(1019!1644),(791!1826),(874!1848),(1237!1894),(605!1971),,,,(254!2061),,,,,,,,,,,,,,,,,,,
42,(1365!436),(350!497),(700!562),(327!688),(1279!506),(1186!589),(382!776),(1111!1048),(244!1255),(1213!1604),(293!1543),(1019!1643),(787!1824),(869!1847),(1237!1894),(605!1970),,,,(256!2060),,,,,,,,,,,,,,,,,,,
43,(1365!435),(350!497),(700!562),(327!692),(1279!503),(1187!589),(382!775),(1111!1046),(245!1256),(1214!1607),(293!1544),(1019!1643),(783!1821),(864!1846),(1237!1894),(605!1970),,,,(252!2059),,,,,,,,,,,,,,,,,,,
44,(1365!437),(350!497),(701!564),(328!695),(1278!501),(1188!589),(382!776),(1113!1044),(246!1258),(1211!1611),(293!1542),(1019!1643),(780!1820),(862!1845),(1237!1894),(605!1970),,,,(253!2059),,,,,,,,,,,,,,,,,,,
45,(1366!436),(350!497),(700!562),(328!700),(1276!497),(1189!591),(382!776),(1119!1039),(247!1258),(1210!1616),(294!1543),(1020!1644),(778!1817),(860!1844),(1238!1894),(606!1970),,,,(256!2060),,,,,,,,,,,,,,,,,,,
46,(1366!436),(351!497),(700!562),(330!702),(1275!496),(1190!591),(383!776),(1122!1038),(248!1259),(1208!1620),(294!1543),(1020!1643),(775!1816),(857!1842),(1238!1894),(606!1970),,,,(256!2058),(99!1715),,,,,,,,,,,,,,,,,,
47,(1367!436),(351!497),(701!563),(331!704),(1274!494),(1191!591),(382!775),(1123!1039),(250!1261),(1209!1623),(294!1543),(1020!1643),(772!1815),(857!1841),(1238!1894),(606!1970),,,,(258!2058),,,,,,,,,,,,,,,,,,,
48,(1366!435),(352!497),(701!563),(333!706),(1191!591),,(382!775),(1125!1034),(250!1264),(1208!1629),(294!1543),(1020!1643),(768!1813),(854!1840),(1238!1894),(606!1970),(109!557),,,(257!2060),(99!1742),,,,,,,,,,,,,,,,,,
49,(1367!436),(352!498),(701!563),(333!709),(1192!592),(1272!490),(382!775),(1127!1033),(251!1267),(1206!1635),(294!1543),(1020!1644),(768!1812),(855!1840),(1239!1895),(606!1970),,,,(261!2056),(96!1728),,,,,,,,,,,,,,,,,,
50,(1367!436),(352!497),(701!563),(334!711),(1192!592),(1272!488),(382!776),(1128!1031),(253!1269),(1204!1639),(294!1543),(1021!1643),(766!1812),(850!1838),(1239!1895),(607!1970),,,,(261!2059),,,,,,,,,,,,,,,,,,,
51,(1367!436),(350!497),(700!563),(334!714),(1192!593),(1268!487),(383!775),(1131!1029),(254!1270),(1202!1642),(294!1543),(1020!1643),(764!1810),(845!1836),(1238!1895),(606!1970),,,,(262!2058),(97!1728),,,,,,,,,,,,,,,,,,
52,(1366!436),(350!497),(700!563),(333!717),(1192!593),(1267!486),(382!776),(1132!1027),(256!1272),(1200!1646),(294!1543),(1020!1643),(761!1808),(843!1835),(1238!1895),(606!1971),,,,(265!2052),,,,,,,,,,,,,,,,,,,
53,(1366!436),(350!497),(699!563),(332!719),(1193!593),(1265!483),(383!775),(1133!1026),(258!1276),(1198!1652),(293!1543),(1020!1643),(757!1807),(839!1834),(1238!1895),(605!1970),,,,(264!2055),,,,,,,,,,,,,,,,,,,
54,(1366!436),(350!497),(700!563),(331!722),(1193!593),(1263!481),(382!775),(1134!1023),(261!1278),(1197!1657),(292!1543),(1019!1643),(753!1806),(837!1833),(1237!1895),(605!1970),,(106!692),,(265!2053),,,,,,,,,,,,,,,,,,,
55,(1366!436),(350!497),(699!563),(332!724),(1193!593),,(381!775),(1135!1022),(263!1281),(1195!1660),(293!1543),(1019!1643),(750!1805),(834!1831),(1238!1895),(605!1970),,,,(265!2052),,,,,,,,,,,,,,,,,,,
56,(1366!436),(350!497),(699!563),(332!727),(1193!594),,(383!776),(1137!1020),(264!1283),(1196!1664),(293!1543),(1019!1643),(748!1805),(831!1830),(1237!1895),(605!1970),,,,(267!2048),(96!1728),,,,,,,,,,,,,,,,,,
57,(1365!436),(351!497),(699!563),(333!731),(1194!593),,(383!775),(1140!1017),(266!1285),(1195!1667),(293!1543),(1019!1642),(744!1802),(831!1828),(1237!1894),(606!1970),,(109!682),(104!864),(271!2044),,,,,,,,,,,,,,,,,,,
58,(1366!436),(351!497),(701!565),(334!734),(1194!593),(1249!471),(380!775),(1143!1016),(269!1288),(1193!1672),(293!1542),(1019!1643),(742!1801),(830!1827),(1237!1894),(606!1970),,,,(271!2045),,,,,,,,,,,,,,,,,,,
59,(1366!438),(351!497),(700!563),(336!737),(1194!594),(1245!468),(384!776),(1144!1015),(271!1291),(1192!1675),(295!1543),(1019!1642),(738!1800),(825!1827),(1237!1894),(606!1969),,,,(272!2045),,,,,,,,,,,,,,,,,,,
60,(1367!436),(351!497),(700!563),(337!740),(1195!594),(1242!468),(384!775),(1146!1013),(273!1294),(1191!1679),(294!1543),(1020!1643),(736!1799),(824!1827),(1238!1894),(607!1969),,(108!685),,(273!2043),(98!1731),,,,,,,,,,,,,,,,,,
61,(1367!436),(351!497),(700!563),(338!743),(1195!595),(1241!468),(384!775),(1149!1011),(275!1296),(1188!1684),(294!1542),(1020!1643),(734!1798),(823!1825),(1238!1894),(607!1969),,,,(275!2043),,,,,,,,,,,,,,,,,,,
62,(1367!436),(353!497),(701!563),(339!747),(1195!595),,(385!776),(1149!1012),(277!1299),(1186!1690),(295!1543),(1020!1643),(731!1796),(819!1824),(1238!1894),(607!1969),,,,(277!2043),,,,,,,,,,,,,,,,,,,
63,(1366!436),(353!497),(702!566),(339!751),(1196!596),,(384!776),(1155!1007),(280!1303),(1185!1695),(295!1543),(1021!1643),(728!1797),(815!1824),(1238!1894),(607!1969),,,,(279!2041),,,,,,,,,,,,,,,,,,,
64,(1366!436),(351!498),(701!565),(338!753),(1195!595),,(382!776),(1157!1004),(283!1306),(1183!1699),(295!1543),(1020!1642),(724!1795),(810!1822),(1238!1894),(607!1970),,,,(279!2040),,,,,,,,,,,,,,,,,,,
65,(1367!436),(351!498),(700!563),(335!759),(1195!596),,(384!776),(1157!1003),(285!1309),(1181!1705),(294!1543),(1020!1643),(720!1796),(809!1821),(1237!1894),(607!1970),,(108!674),,(280!2039),,,,,,,,,,,,,,,,,,,
66,(1366!435),(350!498),(699!563),(335!762),(1194!596),,(382!776),(1157!1001),(285!1312),(1179!1709),(290!1537),(1019!1643),(716!1795),(803!1819),(1237!1894),(607!1968),,,,(282!2037),,,,,,,,,,,,,,,,,,,
67,(1366!436),(351!497),(699!562),(334!765),(1195!595),(1230!460),(383!775),(1159!997),(287!1315),(1177!1712),(294!1543),(1019!1643),(713!1795),(801!1818),(1237!1894),(606!1969),,,,(284!2033),,,,,,,,,,,,,,,,,,,
68,(1366!436),(350!497),(698!562),(331!769),(1194!596),(1229!460),(380!776),(1160!994),(289!1319),(1174!1716),(294!1543),(1019!1643),(709!1795),(797!1816),(1237!1894),(606!1969),,,(104!890),(284!2033),,,,,,,,,,,,,,,,,,,
69,(1365!435),(352!498),(698!562),(331!773),(1194!596),,(381!776),(1163!993),(291!1323),(1171!1722),(289!1537),(1019!1643),(705!1793),(798!1817),(1237!1894),(606!1968),,,,(286!2031),,,,,,,,,,,,,,,,,,,
70,(1366!435),(351!498),(698!562),(332!777),(1194!596),,(382!775),(1165!992),(292!1326),(1170!1727),(294!1543),(1019!1643),(701!1792),(792!1816),(1237!1894),(606!1969),,,,(287!2030),,,,,,,,,,,,,,,,,,,
71,(1366!435),(351!498),(699!561),(333!780),(1195!596),,(384!776),(1166!990),(293!1329),(1169!1731),(293!1540),(1019!1643),(699!1793),(790!1815),(1237!1894),(606!1969),,,,(289!2028),,,,,,,,,,,,,,,,,,,
72,(1366!434),(351!497),(699!561),(334!785),(1195!596),,(383!775),(1169!988),(297!1333),(1169!1736),(294!1542),(1019!1643),(696!1793),(784!1813),(1237!1894),(606!1967),,,,(293!2026),,,,,,,,,,,,,,,,,,,
73,(1366!438),(353!498),(699!560),(334!787),(1196!596),(1227!457),(384!775),(1171!986),(299!1337),(1168!1741),(295!1541),(1020!1643),(693!1793),(781!1813),(1237!1894),(608!1968),,,,(296!2026),,,,,,,,,,,,,,,,,,,
74,(1367!436),(352!498),(699!560),(334!791),(1196!596),(1219!455),(384!775),(1173!984),(302!1340),(1167!1745),(295!1542),(1020!1643),(690!1794),(778!1810),(1238!1894),(608!1967),,(109!674),,(298!2025),,,,,,,,,,,,,,,,,,,
75,(1366!436),(353!498),(700!561),(334!792),(1196!597),(1221!455),(383!775),(1176!981),(302!1343),(1165!1749),(295!1542),(1021!1643),(687!1794),(775!1808),(1237!1894),(608!1968),,,,(299!2027),,,,,,,,,,,,,,,,,,,
76,(1367!435),(353!498),(699!558),(333!795),(1196!596),(1221!454),(385!775),(1178!979),(303!1346),(1164!1753),(295!1542),(1021!1643),(684!1795),(773!1807),(1237!1894),(608!1967),,,,(300!2027),,,,,,,,,,,,,,,,,,,
77,(1366!436),(353!498),(699!557),(333!796),(1196!596),(1224!460),(385!775),(1179!977),(305!1350),(1162!1758),(295!1542),(1020!1643),(681!1794),(771!1806),(1237!1894),(608!1967),,(108!672),(105!867),(302!2027),,,,,,,,,,,,,,,,,,,
78,(1366!436),(352!498),(699!556),(333!799),(1195!596),,(384!775),(1180!975),(307!1354),(1160!1765),(295!1543),(1020!1643),(678!1794),(768!1806),(1238!1894),(608!1967),,(104!875),,(303!2028),,,,,,,,,,,,,,,,,,,
79,(1366!435),(352!498),(699!556),(333!802),(1195!596),,(384!775),(1182!972),(308!1358),(1159!1768),(294!1542),(1019!1643),(675!1796),(764!1803),(1237!1894),(608!1967),(109!676),,,(304!2028),,,,,,,,,,,,,,,,,,,
80,(1366!436),(352!498),(698!555),(333!806),(1195!595),,(383!775),(1183!970),(308!1360),(1157!1771),(294!1543),(1018!1643),(671!1797),(759!1804),(1237!1894),(607!1967),(108!669),,,(306!2028),,,,,,,,,,,,,,,,,,,
81,(1365!436),(352!498),(698!554),(334!810),(1195!596),,(381!776),(1185!968),(308!1363),(1155!1775),(293!1543),(1018!1643),(667!1797),(756!1804),(1236!1894),(607!1968),(107!676),,,(308!2027),,,,,,,,,,,,,,,,,,,
82,(1365!435),(351!498),(698!552),(336!814),(1194!595),,(383!775),(1187!967),(309!1367),(1154!1779),(293!1543),(1018!1643),(663!1797),(753!1805),(1236!1894),(607!1968),(107!676),,,(309!2025),,,,,,,,,,,,,,,,,,,
83,(1365!435),(351!498),(698!551),(336!819),(1194!596),,(381!775),(1188!966),(312!1371),(1153!1784),(293!1543),(1018!1642),(662!1798),(751!1806),(1236!1894),(607!1968),,,,(311!2026),,,,,,,,,,,,,,,,,,,
84,(1365!435),(352!498),(699!550),(337!823),(1195!595),,(382!776),(1190!965),(313!1373),(1152!1786),(293!1543),(1018!1642),(659!1798),(747!1805),(1236!1894),(607!1968),,,,(316!2021),,,,,,,,,,,,,,,,,,,
85,(1366!435),(353!498),(701!549),(339!826),(1195!597),,(382!775),(1193!964),(313!1375),(1151!1789),(294!1543),(1018!1643),(655!1797),(745!1803),(1236!1894),(607!1968),,,(103!855),(316!2023),,,,,,,,,,,,,,,,,,,
86,(1366!435),(353!498),(701!547),(339!829),(1195!595),,(382!775),(1196!962),(316!1379),(1150!1792),(294!1543),(1019!1643),(653!1797),(742!1804),(1237!1894),(607!1968),(108!676),,(104!905),(321!2020),,,,,,,,,,,,,,,,,,,
87,(1366!435),(354!498),,(339!833),(1196!596),,(384!775),(1198!961),(316!1381),(1150!1795),(294!1543),(1019!1642),(650!1796),(739!1804),(1237!1893),(608!1966),,,,(324!2019),,,,,,,,,,,,,,,,,,,
88,(1367!435),(354!498),(701!545),(338!836),(1196!596),(1174!456),(385!775),(1201!960),(318!1385),(1150!1797),(294!1543),(1019!1643),(648!1799),(736!1803),(1237!1894),(608!1967),,,(104!910),(325!2019),,,,,,,,,,,,,,,,,,,
89,(1367!435),(354!498),(701!548),(338!838),(1196!595),,(384!775),(1202!960),(318!1388),(1150!1799),(295!1543),(1019!1642),(645!1799),(735!1803),(1237!1893),(608!1966),,,(108!681),(328!2020),,,,,,,,,,,,,,,,,,,
90,(1366!435),(354!498),(701!546),(337!842),(1196!596),(1167!459),(383!775),(1203!959),(320!1391),(1149!1801),(294!1543),(1019!1643),(641!1798),(729!1803),(1237!1894),(608!1967),,,(108!679),(327!2022),,,,,,,,,,,,,,,,,,,
91,(1366!435),(354!498),(699!543),(335!845),(1196!596),,(384!775),(1205!957),(319!1394),(1148!1804),(294!1543),(1019!1642),(637!1800),(729!1802),(1237!1893),(608!1967),,,(108!691),(329!2024),,,,,,,,,,,,,,,,,,,
92,(1366!435),(353!498),(699!542),(335!848),(1195!595),,(384!775),(1207!956),(319!1398),(1147!1806),(294!1543),(1019!1643),(633!1801),(723!1802),(1236!1893),(608!1967),,,,(330!2025),,,,,,,,,,,,,,,,,,,
93,(1366!435),(352!498),(698!544),(334!851),(1195!596),(1192!400),(383!775),(1205!957),(320!1401),(1145!1808),(294!1543),(1018!1643),(629!1797),(718!1803),(1236!1894),(607!1966),,,,(333!2022),,,,,,,,,,,,,,,,,,,
94,(1365!435),(353!500),(698!543),(334!854),(1195!595),(1149!461),(382!775),(1208!954),(321!1404),(1143!1810),(293!1543),(1017!1643),(626!1798),(719!1803),(1236!1894),(607!1966),,,,(333!2024),,,,,,,,,,,,,,,,,,,
95,(1365!436),(352!498),(698!541),(333!859),(1195!595),,(383!775),(1213!952),(321!1406),(1142!1812),(293!1543),(1017!1643),(623!1798),(712!1801),(1236!1894),(607!1966),,,(109!672),(335!2026),,,,,,,,,,,,,,,,,,,
96,(1366!436),(352!498),(699!536),(333!863),(1195!595),,(383!775),(1215!951),(322!1407),(1141!1812),(293!1543),(1017!1643),(620!1798),(709!1801),(1236!1894),(607!1965),,,,(336!2023),,,,,,,,,,,,,,,,,,,
97,(1366!436),(353!498),(697!535),(333!865),(1195!595),,(382!775),(1218!950),(323!1410),(1140!1814),(294!1543),(1017!1643),(617!1799),(706!1800),(1236!1894),(608!1966),,,,(339!2023),,,,,,,,,,,,,,,,,,,
98,(1366!436),(353!498),(697!536),(335!866),(1195!595),(1141!468),(383!775),(1221!948),(324!1413),(1139!1815),(294!1543),(1017!1643),(613!1798),(703!1799),(1236!1894),(608!1965),,,,(342!2024),,,,,,,,,,,,,,,,,,,
99,(1366!436),(354!498),(697!532),(333!869),(1196!595),,(383!775),(1224!948),(325!1415),(1139!1815),(294!1544),(1018!1643),(611!1800),(701!1800),(1237!1894),(608!1965),(105!715),(104!858),,(344!2024),,,,,,,,,,,,,,,,,,,
100,(1366!436),(354!498),(699!532),(333!871),(1196!595),(1133!471),(384!775),(1227!946),(325!1417),(1138!1815),(294!1544),(1018!1643),(609!1800),(698!1800),(1237!1894),(608!1965),,,,(345!2026),,,,,,,,,,,,,,,,,,,
101,(1367!436),(354!498),(698!532),(332!873),(1196!595),(1131!473),(384!775),(1230!944),(326!1417),(1137!1816),(295!1543),(1018!1642),(605!1799),(695!1800),(1237!1894),(609!1965),,,,(350!2027),,,,,,,,,,,,,,,,,,,
102,(1367!436),(354!498),(698!530),(331!876),(1196!596),(1126!475),(384!776),(1231!944),(327!1420),(1134!1816),(294!1543),(1018!1643),(601!1800),(692!1800),(1237!1894),(608!1965),,,,(350!2028),,,,,,,,,,,,,,,,,,,
103,(1366!436),(354!498),(698!525),(332!879),(1196!595),(1125!475),(384!775),(1233!942),(327!1423),(1131!1817),(295!1543),(1018!1642),(599!1799),(689!1800),(1237!1894),(608!1965),,,(108!673),(353!2028),,,,,,,,,,,,,,,,,,,
104,(1365!436),(354!498),(697!525),(331!882),(1196!595),,(377!773),(1235!941),(328!1426),(1127!1819),(294!1543),(1018!1643),(595!1800),(687!1799),(1237!1894),(609!1965),,,(108!673),(355!2029),,,,,,,,,,,,,,,,,,,
105,(1366!436),(353!498),,(330!886),(1196!594),,(383!776),(1236!939),(329!1427),(1122!1820),(294!1543),(1018!1643),(593!1800),(682!1799),(1237!1894),(608!1965),,,,(355!2028),,,,,,,,,,,,,,,,,,,
106,(1365!436),(353!498),,(328!891),(1195!595),(1108!480),(383!776),(1236!940),(329!1428),(1118!1821),(294!1543),(1017!1643),(589!1800),(681!1798),(1237!1894),(608!1965),,,(108!694),(355!2030),,,,,,,,,,,,,,,,,,,
107,(1366!436),(353!498),(695!521),(329!895),(1195!596),(1112!481),(383!776),(1241!937),(330!1430),(1113!1822),(293!1543),(1018!1643),(586!1799),(677!1798),(1236!1894),(607!1966),,,,(356!2034),,,,,,,,,,,,,,,,,,,
108,(1365!436),(353!498),(693!519),(326!898),(1195!596),,(383!777),(1242!936),(330!1433),(1108!1823),(293!1544),(1017!1643),(583!1795),(673!1798),(1236!1893),(607!1966),,,,(357!2033),,,,,,,,,,,,,,,,,,,
109,(1365!436),(353!498),(692!516),(325!900),(1195!596),(1195!400),(382!775),(1244!934),(330!1435),(1106!1823),(293!1543),(1017!1642),(580!1798),(671!1798),(1236!1894),(607!1965),,,,(358!2035),,,,,,,,,,,,,,,,,,,
110,(1365!436),(353!498),,(323!903),(1195!597),(1194!400),(382!776),(1247!933),(331!1438),(1101!1823),(293!1543),(1017!1643),(576!1799),(669!1799),(1236!1894),(607!1965),,,,(360!2036),,,,,,,,,,,,,,,,,,,
111,(1365!436),(353!498),,(323!906),(1195!597),(1194!400),(383!776),(1247!935),(331!1441),(1096!1825),(293!1543),(1018!1643),(573!1798),(665!1800),(1236!1894),(608!1965),,,,(365!2034),,,,,,,,,,,,,,,,,,,
112,(1365!437),(353!498),,(322!909),(1195!596),,(382!776),(1253!930),(331!1444),(1092!1825),(293!1545),(1018!1642),(570!1797),(662!1800),(1237!1894),(608!1966),,,,(364!2033),,,,,,,,,,,,,,,,,,,
