frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_111
9011,(101!1364),(1279!789),,,(362!919),(190!975),,,(933!870),,,,,,(889!1830),,,(766!1175),,,,(397!670),,,,,,,(917!198),,,,,(563!1868),,,,,,,(1121!610),,,,,,,,,,,(216!356),,,,,,,,(102!1678),,(59!1668),,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9012,(100!1364),(1280!790),,,(362!919),(190!976),,,(934!870),,,,,,(889!1830),(1389!136),,(767!1175),,,,(397!670),,,,,,,(917!198),,,,,(562!1868),,,,,,,(1121!610),,,,,,,,,,,(215!357),,,,,,,,(102!1678),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9013,(101!1364),(1281!794),,,(361!919),(191!976),,,(934!869),,,,,,(890!1830),,,(766!1175),,,,(397!670),,,,,,,(917!198),,,,,(563!1868),,,,,,,(1121!610),,,,,,,,,,,(216!358),,,,,,,,(103!1678),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9014,(97!1364),(1280!797),,,(362!919),(190!975),,,(936!868),,,,,,(890!1830),,,(766!1176),,,,(397!670),,,,,,,(917!198),,,,,(563!1868),,,,,,,(1121!611),,,,,,,,,,,,,,,,,,,(103!1678),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9015,(97!1365),(1280!800),,,(362!919),(190!975),,,(935!868),,,,,,(890!1830),,,(766!1175),,,,(397!670),,,,,,,(918!198),,,,,(563!1868),,,,,,,(1121!610),,,,,,,,,,,(216!360),,,,,,,,(103!1678),,,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9016,(100!1365),(1281!802),,,(362!919),(190!975),,,(937!867),,,,,,(890!1830),,,(765!1176),,,,(397!670),,,,,,,(917!198),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(216!362),,,,,,,,(103!1678),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9017,(97!1364),(1281!805),,,(362!919),(191!976),,,(937!866),,,,,,(890!1830),,,(766!1176),,,,(398!670),,,,,,,(917!198),,,,,(564!1866),,,,,,,(1121!610),,,,,,,,,,,(216!361),,,,,,,,(103!1677),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018,(97!1365),(1281!807),,,(362!919),(190!975),,,(938!866),,,,,,(890!1830),(1387!147),,(766!1176),,,,(397!670),,,,,,,(918!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(216!363),,,,,,,,(103!1677),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9019,(97!1365),(1281!811),,,(362!919),(190!975),,,(938!865),,,,,,(890!1830),,,(766!1176),,,,(397!670),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(216!362),,,,,,,,(103!1677),,,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9020,(97!1364),(1283!815),,,(362!919),(190!975),,,(939!865),,,,,,(890!1830),,,(765!1176),,,,(397!670),,,,,,,(917!198),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(216!362),,,,,,,,(104!1677),,(59!1668),,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9021,(97!1365),(1284!818),,,(362!919),(190!975),,,,,,,,,(889!1830),,,(767!1176),,,,(397!670),,,,,,,(917!198),,,,,(564!1865),,,,,,,(1120!611),,,,,,,,,,,(215!362),,,,,,,,(104!1677),,,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9022,(101!1365),(1283!820),,,(362!919),(190!975),,,(940!864),,,,,,(890!1830),,,(766!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(215!363),,,,,,,,(104!1677),,,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9023,(101!1365),(1283!820),,,(362!919),(191!976),,,(940!862),,,,,,(890!1830),,,(767!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(216!362),,,,,,,,(105!1677),,,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9024,(101!1365),(1284!822),,,(362!919),(190!975),,,(940!862),,,,,,(889!1830),,(1407!153),(766!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1865),,,,,,,(1121!610),,,,,,,,,,,(215!363),,,,,,,,(104!1677),,,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9025,(97!1366),(1284!825),,,(362!919),(190!975),,,(941!861),,,,,,(889!1830),(1387!138),(1405!153),(765!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1121!610),,,,,,,,,,,,,,,,,,,(104!1677),,(59!1666),,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9026,(101!1365),(1284!827),,,(361!919),(191!976),,,,,,,,,(890!1830),,(1388!138),(765!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(214!368),,,,,,,,(106!1677),,,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9027,(97!1365),(1284!829),,,(361!919),(191!976),,,,,,,,,(890!1830),,(1388!140),(767!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(214!369),,,,,,,,(104!1677),,(58!1668),,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9028,(101!1365),(1285!830),,,(361!919),(190!975),,,(943!860),,,,,,(890!1830),,(1388!139),(766!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(213!370),,,,,,,,(104!1677),,(59!1668),,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9029,(101!1365),(1286!831),,,(361!919),(191!976),,,(943!858),,,,,,(890!1830),,,(766!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1119!610),,,,,,,,,,,(212!372),,,,,,,,(105!1678),,(59!1668),,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9030,(101!1366),(1285!833),,,(361!919),(190!976),,,,,,,,,(890!1830),,,(765!1177),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1119!610),,,,,,,,,,,(211!375),,,,,,,,(103!1678),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9031,(101!1365),(1287!835),,,(361!919),(191!976),,,,,,,,,(890!1830),,,(765!1177),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(212!376),,,,,,,,(107!1677),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9032,(102!1365),(1288!839),,,(362!919),(190!975),,,(942!858),,,,,,(890!1830),(1388!138),,(765!1177),,,,(398!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1119!610),,,,,,,,,,,(212!377),,,,,,,,(104!1677),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9033,(101!1365),(1289!841),,,(362!919),(190!976),,,(943!858),,,,,,(890!1830),,,(766!1176),,,,(398!670),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1119!610),,,,,,,,,,,(211!377),,,,,,,,(104!1677),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9034,(101!1365),(1290!844),,,(362!918),(190!976),,,(943!856),,,,,,(890!1829),,,(765!1176),,,,(397!670),,,,,,,(918!199),,,,,(564!1866),,,,,,,(1119!610),,,,,,,,,,,(211!379),,,,,,,,(109!1674),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9035,(101!1366),(1290!845),,,(361!919),(191!976),,,(944!856),,,,,,(890!1830),,,(765!1176),,,,(397!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(212!380),,,,,,,,(109!1674),,,,(175!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9036,(101!1365),(1290!845),,,(362!920),(190!976),,,(944!855),,,,,,(889!1830),,(1388!143),(765!1176),,,,(398!670),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(211!381),,,,,,,,(59!1670),,,,(175!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9037,(101!1365),(1290!848),,,(362!920),(190!976),,,(945!854),,,,,,(889!1830),,(1388!146),(766!1176),,,,(398!670),,,,,,,(918!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(211!382),,,,,,,,(109!1675),,,,(172!1838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9038,(102!1365),(1291!848),,,(362!918),(190!976),,,(946!852),,,,,,(889!1829),,(1388!143),(766!1176),,,,(398!670),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(212!383),,,,,,,,(108!1676),,,,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9039,(102!1365),(1291!850),,,(362!918),(190!976),,,(947!853),,,,,,(889!1829),,,(766!1176),,,,(398!670),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(211!383),,,,,,,,(108!1675),,,,(175!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9040,(102!1365),(1291!852),,,(362!920),(190!976),,,(948!851),,,,,,(889!1830),,(1388!143),(765!1177),,,,(398!671),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(211!385),,,,,,,,(109!1675),,(59!1673),,(175!1840),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9041,(102!1365),(1292!854),,,(362!920),(191!977),,,(948!850),,,,,,(890!1830),,,(765!1177),,,,(398!670),,,,,,,(917!199),,,,,(564!1866),,,,,,,(1120!610),,,,,,,,,,,(212!386),,,,,,,,(106!1677),,(59!1673),,(175!1840),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9042,(102!1365),(1292!856),,,(362!920),(190!976),,,(949!849),,,,,,(890!1829),,(1388!143),(765!1177),,,,(398!670),,,,,,,(918!199),,,,,(563!1867),,,,,,,(1119!610),,,,,,,,,,,(212!387),,,,,,,,(106!1677),,(57!1675),,(175!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9043,(102!1365),(1293!858),,,(362!920),(190!976),,,(950!849),,,,,,(889!1830),,(1389!143),(767!1176),,,,(398!671),,,,,,,(918!199),,,,,(563!1867),,,,,,,(1119!610),,,,,,,,,,,(212!389),,,,,,,,(107!1676),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9044,(97!1365),(1293!860),,,(362!920),(191!977),,,(952!848),,,,,,(890!1829),,(1388!140),(765!1177),,,,(397!671),,,,,,,(917!199),,,,,(562!1868),,,,,,,(1119!610),,,,,,,,,,,(211!391),,,,,,,,(107!1676),,(57!1675),,(171!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9045,(97!1365),(1293!861),,,(361!920),(191!977),,,,,,,,,(889!1829),,,(765!1177),,,,(398!671),,,,,,,(917!198),,,,,(562!1868),,,,,,,(1119!610),,,,,,,,,,,(210!393),,,,,,,,(104!1677),,(59!1663),,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9046,(97!1365),(1295!864),,,(362!920),(191!976),,,(954!846),,,,,,(889!1829),,,(765!1177),,,,(398!670),,,,,,,(918!198),,,,,(562!1868),,,,,,,(1119!610),,,,,,,,,,,(211!395),,,,,,,,(104!1677),,(58!1662),,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9047,(97!1365),(1296!866),,,(361!920),(191!977),,,,,,,,,(889!1830),(1388!144),(1405!153),(767!1176),,,,(398!670),,,,,,,(918!198),,,,,(561!1868),,,,,,,(1119!610),,,,,,,,,,,(212!396),,,,,,,,(104!1676),,,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9048,(97!1365),(1296!869),,,(362!920),(190!976),,,,,,,,,(889!1829),,(1389!144),(765!1177),,,,(398!670),,,,,,,(918!198),,,,,(561!1869),,,,,,,(1119!610),,,,,,,,,,,(211!400),,,,,,,,(103!1677),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9049,(97!1365),(1297!871),,,(362!920),(191!976),,,,,,,,,(889!1829),,(1388!143),(765!1176),,,,(399!671),,,,,,,(917!198),,,,,(561!1869),,,,,,,(1119!610),,,,,,,,,,,(209!400),,,,,,,,(104!1675),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9050,(97!1365),(1298!872),,,(362!920),(191!976),,,(957!841),,,,,,(888!1829),,(1388!144),(765!1176),,,,(399!671),,,,,,,(917!198),,,,,(561!1869),,,,,,,(1119!609),,,,,,,,,,,(209!400),,,,,,,,(104!1677),,(59!1665),,(175!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9051,(97!1365),(1297!873),,,(362!920),(190!976),,,,,,,,,(888!1829),,(1390!144),(766!1176),,,,(398!671),,,,,,,(918!198),,,,,(561!1870),,,,,,,(1119!609),,,,,,,,,,,(209!401),,,,,,,,(104!1675),,,,(175!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9052,(96!1364),(1298!875),,,(362!920),(190!976),,,,,,,,,(889!1829),,(1387!144),(765!1176),,,,(398!671),,,,,,,(918!198),,,,,(560!1870),,,,,,,(1119!609),,,,,,,,,,,(210!403),,,,,,,,(103!1677),,,,(175!1838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9053,(97!1365),(1298!877),,,(362!920),(190!976),,,,,,,,,(888!1829),,(1388!144),(765!1176),,,,(398!670),,,,,,,(918!198),,,,,(559!1870),,,,,,,(1119!609),,,,,,,,,,,(209!403),,,,,,,,(104!1677),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9054,(97!1365),(1298!880),,,(362!920),(190!976),,,(961!838),,,,,,(888!1828),,(1388!144),(766!1177),,,,(398!670),,,,,,,(918!198),,,,,(558!1870),,,,,,,(1119!609),,,,,,,,,,,(209!404),,,,,,,,(104!1677),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9055,(97!1365),(1299!882),,,(362!920),(191!976),,,(962!837),,,,,,(889!1828),,(1387!144),(766!1177),,,,(398!670),,,,,,,(917!198),,,,,(557!1870),,,,,,,(1119!609),,,,,,,,,,,(208!405),,,,,,,,(104!1676),,(60!1674),,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9056,(97!1365),(1300!884),,,(362!920),(191!976),,,,,,,,,(888!1828),,,(765!1176),,,,(398!670),,,,,,,(917!198),,,,,(557!1870),,,,,,,(1119!609),,,,,,,,,,,,,,,,,,,(105!1676),,,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9057,(97!1365),(1301!885),,,(362!920),(191!976),,,,,,,,,(888!1828),(1388!143),,(765!1177),,,,(398!670),,,,,,,(918!198),,,,,(556!1870),,,,,,,(1119!609),,,,,,,,,,,(206!407),,,,,,,,(104!1677),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9058,(97!1365),(1302!887),,,(362!920),(191!977),,,,,,,,,(888!1828),(1388!143),,(766!1176),,,,(398!670),,,,,,,(918!198),,,,,(555!1869),,,,,,,(1119!609),,,,,,,,,,,,,,,,,,,(105!1677),,,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9059,(97!1364),(1303!888),,,(362!920),(191!976),,,,,,,,,(888!1827),,,(767!1177),,,,(398!671),,,,,,,(917!198),,,,,(554!1869),,,,,,,(1119!609),,,,,,,,,,,(204!410),,,,,,,,(104!1677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9060,(97!1364),(1303!890),,,(362!920),(191!976),,,,,,,,,(888!1828),,,(767!1177),,,,(398!670),,,,,,,(918!198),,,,,(553!1869),,,,,,,(1119!609),,,,,,,,,,,(201!412),,,,,,,,(104!1677),,(59!1672),,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9061,(97!1364),(1304!892),,,(362!920),(190!977),,,(968!830),,,,,,(888!1828),(1388!142),,(765!1177),,,,(398!670),,,,,,,(918!198),,,,,(552!1869),,,,,,,(1119!609),,,,,,,,,,,(199!414),,,,,,,,(105!1676),,(172!1838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9062,(97!1364),(1304!895),,,(362!920),(190!977),,,(968!830),,,,,,(888!1827),(1388!142),,(766!1177),,,,(398!671),,,,,,,(918!198),,,,,(552!1868),,,,,,,(1119!608),,,,,,,,,,,(198!415),,,,,,,,(105!1678),,,(59!1672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9063,(97!1365),(1304!892),,,(362!920),(191!977),,,(968!829),,,,,,(887!1828),(1388!138),,(766!1177),,,,(398!671),,,,,,,(918!198),,,,,(551!1868),,,,,,,(1119!609),,,,,,,,,,,,,,,,(173!1839),,,(104!1677),,,(59!1672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9064,(97!1365),(1304!894),,,(362!919),(191!977),,,(970!827),,,,,,(887!1828),,,(765!1177),,,,(399!671),,,,,,,(918!198),,,,,(549!1866),,,,,,,(1119!608),,,,,,,,,,,,,,,,(173!1839),,,(104!1676),,,(59!1672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9065,(97!1365),(1305!896),,,(362!920),(191!977),,,(972!827),,,,,,(887!1828),,(1388!143),(765!1177),,,,(398!670),,,,,,,(918!198),,,,,(549!1866),,,,,,,(1120!609),,,,,,,,,,,,,,,,(173!1838),,,(103!1677),,,(59!1672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9066,(97!1365),(1305!897),,,(362!920),(192!977),,,(973!826),,,,,,(887!1827),,,(766!1176),,,,(398!670),,,,,,,(917!198),,,,,(548!1865),,,,,,,(1119!609),,,,,,,,,,,(197!418),,,,,,,,(103!1677),,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9067,(97!1365),(1308!904),,,(362!920),(191!977),,,(974!824),,,,,,(887!1827),,,(766!1177),,,,(398!670),,,,,,,(918!198),,,,,(547!1865),,,,,,,(1119!610),,,,,,,,,,,(196!420),,,,,,,,(106!1677),,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9068,(97!1365),(1308!905),,,(362!920),(193!977),,,(976!823),,,,,,(886!1826),,,(766!1177),,,,(398!670),,,,,,,(918!198),,,,,(545!1865),,,,,,,(1119!609),,,,,,,,,,,,,,,,,,,(105!1677),,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9069,(96!1365),(1309!907),,,(362!920),(192!977),,,(976!823),,,,,,(886!1827),,(1386!147),(766!1177),,,,(398!670),,,,,,,(918!198),,,,,(544!1865),,,,,,,(1119!610),,,,,,,,,,,(196!422),,,,,,,,(105!1677),,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9070,(96!1365),(1307!901),,,(362!920),(192!977),,,(978!822),,,,,,(886!1827),,,(766!1176),,,,(398!671),,,,,,,(917!198),,,,,(542!1866),,,,,,,(1119!610),,,,,,,,,,,(194!422),,,,,,,,(105!1677),,,(174!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9071,(96!1365),(1310!911),,,(362!920),(193!977),,,,,,,,,(885!1827),,,(766!1176),,,,(398!670),,,,,,,(918!198),,,,,(541!1866),,,,,,,(1119!609),,,,,,,,,,,(193!423),,,,,,,,(105!1677),,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,(96!1365),(1312!912),,,(362!920),(193!977),,,(981!821),,,,,,(885!1827),,,(765!1177),,,,(399!671),,,,,,,(918!198),,,,,(540!1866),,,,,,,(1119!610),,,,,,,,,,,(191!421),,,,,,,,(105!1678),,,(172!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9073,(96!1365),(1312!913),,,(362!920),(192!978),,,(982!819),,,,,,(885!1827),,(1388!143),(766!1177),,,,(398!670),,,,,,,(918!198),,,,,(539!1865),,,,,,,(1119!610),,,,,,,,,,,(187!421),,,,,,,,(105!1678),,,(173!1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9074,(96!1365),(1313!915),,,(362!920),(192!978),,,,,,,,,(885!1827),,,(766!1177),,,,(398!670),,,,,,,(918!198),,,,,(538!1865),,,,,,,(1119!610),,,,,,,,,,,(184!425),,,,,,,,(105!1677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9075,(97!1365),(1313!916),,,(362!920),(191!978),,,,,,,,,(885!1827),,,(765!1177),,,,(398!670),,,,,,,(918!198),,,,,(537!1866),,,,,,,(1119!610),,,,,,,,,,,(182!424),,,,,,,,(105!1677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9076,(96!1365),(1312!916),,,(362!920),(192!978),,,(984!817),,,,,,(885!1827),,,(767!1176),,,,(398!670),,,,,,,(918!198),,,,,(536!1865),,,,,,,(1119!610),,,,,,,,,,,(180!427),,,,,,,,(105!1678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9077,(95!1365),(1312!917),,,(362!920),(192!978),,,,,,,,,(885!1827),,,(767!1176),,,,(398!670),,,,,,,(918!198),,,,,(535!1866),,,,,,(173!1839),(1120!610),,,,,,,,,,,,,,,,,,,(105!1677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9078,(95!1365),(1313!919),,,(362!920),(192!979),,,,,,,,,(885!1827),,(1388!143),(765!1176),,,,(398!671),,,,,,,(917!198),,,,,(534!1866),,,,,,(173!1839),(1119!609),,,,,,,,,,,(179!426),,,,,,,,(105!1677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9079,(95!1365),(1314!920),,,(362!920),(192!979),,,(986!814),,,,,,(885!1826),,(1388!139),(767!1177),,,,(397!671),,,,,,,(918!198),,,,,(532!1866),,,,,,(171!1839),(1119!609),,,,,,,,,,,(179!428),,,,,,,,(103!1679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080,(95!1365),(1314!920),,,(362!920),(193!979),,,,,,,,,(885!1827),,,(767!1177),,,,(399!670),,,,,,,(917!198),,,,,(531!1866),,,,,,(173!1839),(1119!608),,,,,,,,,,,(178!428),,,,,,,,(104!1678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9081,(95!1365),(1314!920),,,(362!920),(193!979),,,(989!812),,,,,,(885!1827),(1388!143),(1402!140),(767!1176),,,,(399!670),,,,,,,(918!198),,,,,(529!1865),,,,,,(173!1839),(1119!609),,,,,,,,,,,(176!430),,,,,,,,(104!1677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9082,(94!1365),(1314!920),,,(362!920),(193!979),,,,,,,,,(885!1827),(1388!143),(1403!139),(767!1176),,,,(398!671),,,,,,,(918!198),,,,,(528!1865),,,,,,(173!1839),(1119!610),,,,,,,,,,,(179!428),,,,,,,,(104!1678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9083,(94!1365),(1315!920),,,(362!920),(193!980),,,,,,,,,(885!1827),,(1388!144),(767!1176),,,,(398!670),,,,,,,(918!198),,,,,(527!1865),,,,,,(172!1839),(1119!609),,,,,,,,,,,(177!428),,,,,,,,(104!1678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9084,(94!1365),(1315!920),,,(362!920),(193!980),,,,,,,,,(885!1827),,(1389!144),(767!1177),,,,(398!671),,,,,,,(918!198),,,,,(525!1864),,,,,,(173!1838),(1119!609),,,,,,,,,,,(174!428),,,,,,,,(104!1678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9085,(94!1365),(1315!919),,,(362!920),(193!980),,,,,,,,,(885!1827),(1407!158),(1386!144),(766!1176),,,,(398!671),,,,,,,(917!198),,,,,(523!1864),,,,,,(171!1839),(1119!610),,,,,,,,,,,(173!429),,,,,,,,(103!1678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
