frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19
0,(819!119),(1744!217),(1498!238),(1501!426),(1706!430),(1487!606),(1754!645),(1360!689),(1263!759),(1221!956),(1311!1052),(137!1122),(1023!1130),(1252!1147),(1737!1277),,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,(820!120),,(1503!237),(1493!440),(1707!431),(1487!601),,(1360!690),,(1222!959),(1312!1054),(139!1126),(1024!1131),(1252!1148),(1739!1279),,,,,
6,(820!120),,(1503!237),(1491!445),(1707!432),(1486!601),,(1361!690),,(1226!959),(1311!1055),(137!1122),(1024!1131),(1254!1148),(1737!1279),,,,,
7,(820!119),(1744!224),(1503!236),(1490!450),(1707!431),(1486!601),,(1360!690),(1269!766),(1226!956),(1311!1055),(139!1127),(1023!1131),(1254!1148),(1736!1279),,,,,
8,(821!119),,(1503!235),(1496!449),(1707!431),(1486!601),,(1360!690),(1270!764),(1226!959),(1311!1054),(138!1123),(1024!1131),(1254!1147),(1737!1278),,,,,
9,(820!119),(1744!224),(1503!238),(1493!455),(1707!431),(1486!600),,(1362!693),(1271!765),(1226!957),(1312!1058),(139!1127),(1026!1135),(1253!1147),(1738!1277),,,,,
10,(820!119),(1744!225),(1504!236),(1486!464),(1706!430),(1486!600),,(1360!689),(1272!765),(1226!956),(1312!1052),(364!1313),,(1470!1323),(1737!1277),,,,,
11,(820!118),(1744!225),(1503!234),(1484!467),(1706!430),(1486!599),,(1360!689),(1274!766),(1225!956),(1312!1052),,(1023!1129),(1467!1323),(1737!1277),,,,,
12,(819!118),(1744!225),(1503!235),(1483!472),(1706!430),(1486!599),,(1360!689),(1275!768),(1225!956),(1311!1058),,(1023!1129),(1467!1323),(1737!1277),,,,,
13,(819!119),(1744!225),(1502!235),(1487!472),(1706!430),(1486!600),,(1361!688),(1277!768),(1226!958),(1311!1058),,(1023!1129),,(1736!1277),,,,,
14,(819!119),,(1503!236),(1482!482),(1706!430),(1486!600),,(1360!689),(1278!769),(1226!957),(1311!1058),,,,(1737!1277),,(139!1125),(1253!1146),,
